end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
Oct 31,0 to 19,380,2631,1752893,1.50094729113528
Oct 31,20 to 29,509,3518,930073,3.78249879310549
Oct 31,30 to 39,450,2823,844497,3.34281826933666
Oct 31,40 to 49,448,2997,815370,3.67563192170426
Oct 31,50 to 59,424,2923,871660,3.35337172750843
Oct 31,60 to 69,293,2320,772889,3.00172469785441
Oct 31,70 to 79,155,1375,450969,3.04899006361856
Oct 31,80 and older,115,1023,253527,4.03507318747116
Nov 07,0 to 19,743,4221,1752893,2.40801920025923
Nov 07,20 to 29,846,5154,930073,5.54150050587427
Nov 07,30 to 39,728,4313,844497,5.10718214511123
Nov 07,40 to 49,706,4341,815370,5.32396335406012
Nov 07,50 to 59,654,4222,871660,4.84363169125577
Nov 07,60 to 69,496,3180,772889,4.11443299102458
Nov 07,70 to 79,266,1744,450969,3.86722812432784
Nov 07,80 and older,180,1184,253527,4.67011403124717
Nov 14,0 to 19,1040,6052,1752893,3.45257810944536
Nov 14,20 to 29,1330,7691,930073,8.26924338197109
Nov 14,30 to 39,1003,6276,844497,7.43164274118203
Nov 14,40 to 49,1000,6332,815370,7.76579957565277
Nov 14,50 to 59,1001,6160,871660,7.06697565564555
Nov 14,60 to 69,753,4473,772889,5.78737697133741
Nov 14,70 to 79,389,2557,450969,5.67001279467103
Nov 14,80 and older,239,1716,253527,6.76850986285484
Nov 21,0 to 19,940,6406,1752893,3.65452996845786
Nov 21,20 to 29,1136,8203,930073,8.81973780552709
Nov 21,30 to 39,966,6673,844497,7.90174506244546
Nov 21,40 to 49,938,6762,815370,8.29316751904044
Nov 21,50 to 59,912,6394,871660,7.33542895165546
Nov 21,60 to 69,706,4912,772889,6.35537573959521
Nov 21,70 to 79,400,2863,450969,6.3485516742836
Nov 21,80 and older,205,1715,253527,6.76456550978791
Nov 28,0 to 19,583,5208,1752893,2.971088366489
Nov 28,20 to 29,730,6579,930073,7.0736383058104
Nov 28,30 to 39,655,5903,844497,6.9899597038237
Nov 28,40 to 49,623,5660,815370,6.94163385947484
